session_number,test_acc,bins,model
754312389,0.005882353,1,SVC
744228101,0.335294118,1,SVC
797828357,0.378991597,1,SVC
750749662,0.447058824,1,SVC
742951821,0.477310924,1,SVC
751348571,0.497478992,1,SVC
754829445,0.526890756,1,SVC
719161530,0.578151261,1,SVC
750332458,0.583193277,1,SVC
732592105,0.594957983,1,SVC
743475441,0.601680672,1,SVC
773418906,0.617647059,1,SVC
759883607,0.661344538,1,SVC
757970808,0.668067227,1,SVC
757216464,0.701680672,1,SVC
756029989,0.705882353,1,SVC
721123822,0.710084034,1,SVC
755434585,0.710084034,1,SVC
791319847,0.712605042,1,SVC
758798717,0.744537815,1,SVC
739448407,0.746218487,1,SVC
763673393,0.756302521,1,SVC
798911424,0.773109244,1,SVC
799864342,0.778151261,1,SVC
762120172,0.792436975,1,SVC
746083955,0.802521008,1,SVC
737581020,0.82079459,1,SVC
760693773,0.822689076,1,SVC
761418226,0.845378151,1,SVC
715093703,0.860504202,1,SVC
760345702,0.861344538,1,SVC
762602078,0.917647059,1,SVC
