session_number,test_acc,bins,model
754312389,0.008403361,1,PCMVLR
797828357,0.503361345,1,PCMVLR
742951821,0.582352941,1,PCMVLR
744228101,0.583193277,1,PCMVLR
750749662,0.607563025,1,PCMVLR
751348571,0.625210084,1,PCMVLR
754829445,0.662184874,1,PCMVLR
773418906,0.673109244,1,PCMVLR
743475441,0.695798319,1,PCMVLR
759883607,0.742857143,1,PCMVLR
719161530,0.74789916,1,PCMVLR
757216464,0.760504202,1,PCMVLR
721123822,0.763865546,1,PCMVLR
757970808,0.763865546,1,PCMVLR
732592105,0.789915966,1,PCMVLR
750332458,0.794117647,1,PCMVLR
758798717,0.805042017,1,PCMVLR
791319847,0.827731092,1,PCMVLR
756029989,0.838655462,1,PCMVLR
755434585,0.851260504,1,PCMVLR
763673393,0.865546218,1,PCMVLR
739448407,0.872268908,1,PCMVLR
760693773,0.876470588,1,PCMVLR
799864342,0.884033613,1,PCMVLR
762120172,0.891596639,1,PCMVLR
798911424,0.893277311,1,PCMVLR
737581020,0.898562975,1,PCMVLR
746083955,0.905882353,1,PCMVLR
760345702,0.92605042,1,PCMVLR
761418226,0.946218487,1,PCMVLR
715093703,0.948739496,1,PCMVLR
762602078,0.952941176,1,PCMVLR
